,Country,Dist_KM,Dist_Miles,Dist_NM,FlightTime_Hr,FlightSpeed_mph
85,Hong Kong,3633.54,2257.78,1960.65,3.98,567.0
86,Honduras,15718.7,9767.15,8481.79,17.23,567.0
87,Croatia,6363.39,3954.03,3433.68,6.97,567.0
88,Haiti,14614.13,9080.8,7885.77,16.02,567.0
89,Hungary,6054.8,3762.28,3267.16,6.64,567.0
90,Indonesia,4484.78,2786.71,2419.98,4.91,567.0
91,Ireland,8001.62,4971.97,4317.66,8.77,567.0
92,Israel,4534.22,2817.44,2446.66,4.97,567.0
93,Isle of Man,7747.84,4814.28,4180.72,8.49,567.0
94,India,0.0,0.0,0.0,0.0,567.0
95,Iraq,3747.09,2328.34,2021.93,4.11,567.0
96,Iran,2827.62,1757.0,1525.78,3.1,567.0
97,Iceland,8307.24,5161.88,4482.58,9.1,567.0
98,Italy,6568.72,4081.61,3544.47,7.2,567.0
99,Jersey,7654.2,4756.1,4130.19,8.39,567.0
100,Jamaica,14992.63,9315.99,8090.0,16.43,567.0
101,Jordan,4398.46,2733.08,2373.4,4.82,567.0
102,Japan,5959.02,3702.76,3215.48,6.53,567.0
103,Kenya,5015.93,3116.75,2706.59,5.5,567.0
104,Kyrgyzstan,2325.63,1445.08,1254.91,2.55,567.0
105,Cambodia,2909.19,1807.68,1569.79,3.19,567.0
106,Kiribati,12458.13,7741.12,6722.39,13.65,567.0
107,Comoros,5267.72,3273.21,2842.45,5.77,567.0
108,Saint Kitts and Nevis,14080.21,8749.03,7597.66,15.43,567.0
109,North Korea,5066.94,3148.45,2734.12,5.55,567.0
110,South Korea,5016.47,3117.09,2706.88,5.5,567.0
111,Kuwait,3306.53,2054.58,1784.2,3.62,567.0
112,Cayman Islands,15028.81,9338.47,8109.53,16.47,567.0
113,Kazakhstan,3234.79,2010.0,1745.49,3.54,567.0
114,Laos,2454.5,1525.16,1324.45,2.69,567.0
115,Lebanon,4472.13,2778.86,2413.16,4.9,567.0
116,Saint Lucia,14194.01,8819.75,7659.07,15.56,567.0
117,Liechtenstein,6804.58,4228.17,3671.74,7.46,567.0
118,Sri Lanka,1427.71,887.14,770.39,1.56,567.0
119,Liberia,9589.64,5958.72,5174.56,10.51,567.0
120,Lesotho,7787.71,4839.06,4202.24,8.53,567.0
121,Lithuania,5949.11,3696.61,3210.13,6.52,567.0
122,Luxembourg,7054.86,4383.69,3806.79,7.73,567.0
123,Latvia,5966.01,3707.11,3219.25,6.54,567.0
124,Libya,6271.59,3896.98,3384.14,6.87,567.0
125,Morocco,8462.76,5258.51,4566.49,9.27,567.0
126,Monaco,6981.73,4338.24,3767.33,7.65,567.0
127,Moldova,5405.51,3358.83,2916.8,5.92,567.0
128,Montenegro,6012.22,3735.82,3244.18,6.59,567.0
129,Madagascar,5601.51,3480.61,3022.57,6.14,567.0
130,Marshall Islands,9958.26,6187.78,5373.46,10.91,567.0
131,Macedonia,5807.06,3608.34,3133.48,6.36,567.0
132,Mali,8622.83,5357.98,4652.87,9.45,567.0
133,Myanmar,1766.17,1097.45,953.02,1.94,567.0
134,Mongolia,3685.18,2289.87,1988.52,4.04,567.0
135,Macao,3576.86,2222.56,1930.07,3.92,567.0
136,Northern Mariana Islands,6945.97,4316.03,3748.04,7.61,567.0
137,Martinique,14144.64,8789.07,7632.43,15.5,567.0
138,Mauritania,9192.16,5711.74,4960.08,10.07,567.0
139,Montserrat,14081.15,8749.62,7598.17,15.43,567.0
140,Malta,6435.73,3998.98,3472.71,7.05,567.0
141,Mauritius,5113.45,3177.35,2759.21,5.6,567.0
142,Maldives,2031.27,1262.17,1096.07,2.23,567.0
143,Malawi,6163.01,3829.52,3325.55,6.75,567.0
144,Mexico,15093.67,9378.77,8144.53,16.54,567.0
145,Malaysia,3083.97,1916.29,1664.11,3.38,567.0
146,Mozambique,6437.53,4000.1,3473.68,7.05,567.0
147,Namibia,8148.53,5063.26,4396.94,8.93,567.0
148,New Caledonia,10482.0,6513.21,5656.07,11.49,567.0
149,Niger,7394.9,4594.98,3990.28,8.1,567.0
150,Norfolk Island,11007.19,6839.55,5939.47,12.06,567.0
151,Nigeria,7610.96,4729.23,4106.87,8.34,567.0
152,Nicaragua,15911.07,9886.68,8585.6,17.44,567.0
153,Netherlands,7110.1,4418.01,3836.6,7.79,567.0
154,Norway,6961.17,4325.47,3756.24,7.63,567.0
155,Nepal,1012.12,628.9,546.14,1.11,567.0
156,Niue,12869.63,7996.82,6944.44,14.1,567.0
157,New Zealand,11970.31,7438.01,6459.17,13.12,567.0
158,Oman,2390.8,1485.58,1290.07,2.62,567.0
159,Panama,16090.46,9998.15,8682.39,17.63,567.0
160,Peru,16950.48,10532.54,9146.46,18.58,567.0
161,French Polynesia,14940.82,9283.79,8062.05,16.37,567.0
162,Papua New Guinea,7697.57,4783.05,4153.6,8.44,567.0
163,Philippines,4625.02,2873.86,2495.66,5.07,567.0
164,Pakistan,1452.78,902.72,783.92,1.59,567.0
165,Poland,6165.38,3830.99,3326.83,6.76,567.0
166,Saint Pierre and Miquelon,11268.79,7002.1,6080.62,12.35,567.0
167,Pitcairn,17271.04,10731.73,9319.43,18.93,567.0
168,Puerto Rico,14293.97,8881.86,7713.01,15.66,567.0
169,Palestinian Territory,4506.27,2800.07,2431.58,4.94,567.0
170,Portugal,8339.65,5182.02,4500.06,9.14,567.0
171,Palau,6142.72,3816.91,3314.6,6.73,567.0
172,Paraguay,15627.74,9710.63,8432.71,17.13,567.0
173,Qatar,2887.09,1793.96,1557.87,3.16,567.0
174,Reunion,5290.45,3287.33,2854.72,5.8,567.0
175,Romania,5620.48,3492.4,3032.8,6.16,567.0
176,Serbia,5894.98,3662.97,3180.92,6.46,567.0
177,Russia,4985.43,3097.8,2690.13,5.46,567.0
178,Rwanda,5901.32,3666.91,3184.35,6.47,567.0
179,Saudi Arabia,3498.22,2173.69,1887.64,3.83,567.0
180,Solomon Islands,9481.8,5891.72,5116.37,10.39,567.0
181,Seychelles,3802.58,2362.81,2051.87,4.17,567.0
182,Sudan,5242.56,3257.58,2828.88,5.75,567.0
183,Sweden,6404.19,3979.38,3455.69,7.02,567.0
184,Singapore,3443.48,2139.68,1858.1,3.77,567.0
185,Saint Helena,10830.31,6729.64,5844.02,11.87,567.0
186,Slovenia,6386.04,3968.1,3445.9,7.0,567.0
187,Svalbard and Jan Mayen,6973.75,4333.29,3763.03,7.64,567.0
188,Slovakia,6064.71,3768.44,3272.51,6.65,567.0
189,Sierra Leone,9753.77,6060.71,5263.12,10.69,567.0
190,San Marino,6576.84,4086.66,3548.85,7.21,567.0
191,Senegal,9790.01,6083.23,5282.68,10.73,567.0
192,Somalia,3931.09,2442.67,2121.21,4.31,567.0
193,Suriname,14400.25,8947.9,7770.36,15.78,567.0
194,Sao Tome and Principe,8166.08,5074.16,4406.4,8.95,567.0
195,El Salvador,15966.9,9921.37,8615.72,17.5,567.0
196,Syria,4205.92,2613.44,2269.51,4.61,567.0
197,Swaziland,7323.93,4550.88,3951.99,8.03,567.0
198,Turks and Caicos Islands,14340.45,8910.74,7738.09,15.72,567.0
199,Chad,6360.08,3951.97,3431.89,6.97,567.0
200,Togo,8443.58,5246.6,4556.15,9.25,567.0
201,Thailand,2382.81,1480.61,1285.76,2.61,567.0
202,Tajikistan,2160.3,1342.35,1165.7,2.37,567.0
